echantillon;groupe;Gmax;t50;AUC
ANP-1;NP;96.66;54.07;10310.51
ANP-2;NP;100.36;38.93;12538.16
ANP-3;NP;96.27;49.24;11036.31
ANP-4;NP;100.25;45.65;12208.6
AHP-1;HP;100.51;44.04;12361.2
AHP-2;HP;96.3;37.22;12418.37
AHP-3;HP;99.54;40.34;11746.73
AHP-4;HP;93.61;40.01;11962.88
AV1-1;V1;97.92;39.63;12070.88
AV1-2;V1;94.0;43.92;12066.03
AV1-3;V1;95.36;38.94;12237.29
AV1-4;V1;100.06;36.79;13035.73
AV2-1;V2;99.65;32.86;13378.77
AV2-2;V2;100.44;31.48;13518.16
AV2-3;V2;97.91;31.43;13437.78
AV2-4;V2;95.89;33.97;12287.63
AV3-1;V3;94.7;33.52;12734.87
AV3-2;V3;99.39;33.07;13231.42
AV3-3;V3;98.0;37.47;12851.85
AV3-4;V3;98.23;43.31;12544.27
AV4-1;V4;91.61;26.39;12580.78
AV4-2;V4;93.19;29.55;12764.65
AV4-3;V4;94.13;28.39;12775.98
AV4-4;V4;101.92;32.84;13381.3
