echantillon;groupe;Gmax;t50;AUC
BNP-1;NP;95.66;75.42;8879.96
BNP-2;NP;87.6;84.28;7865.84
BNP-3;NP;91.16;61.87;10333.91
BNP-4;NP;91.96;66.78;9275.18
BHP-1;HP;94.32;53.85;10630.54
BHP-2;HP;93.46;55.68;10171.11
BHP-3;HP;105.11;53.51;10632.18
BHP-4;HP;92.88;46.77;11215.71
BV1-1;V1;104.01;60.43;10330.91
BV1-2;V1;87.79;59.68;9780.61
BV1-3;V1;86.18;50.93;9648.2
BV1-4;V1;85.19;54.08;10086.05
BV2-1;V2;86.37;49.34;9345.91
BV2-2;V2;94.26;37.14;11744.58
BV2-3;V2;83.91;50.29;9401.33
BV2-4;V2;83.99;46.35;9121.3
BV3-1;V3;98.11;39.63;12123.31
BV3-2;V3;88.5;48.46;9516.57
BV3-3;V3;88.78;47.28;10476.5
BV3-4;V3;84.48;47.72;9536.79
BV4-1;V4;99.69;39.32;11597.93
BV4-2;V4;91.58;35.26;12183.86
BV4-3;V4;91.84;40.17;11112.21
BV4-4;V4;90.13;40.13;11313.37
