echantillon;groupe;Gmax;t50;AUC
DNP-1;NP;87.71;59.69;9268.73
DNP-2;NP;99.67;59.96;10333.06
DNP-3;NP;86.02;52.4;9806.31
DNP-4;NP;95.75;77.99;8428.58
DHP-1;HP;99.63;54.16;10882.72
DHP-2;HP;92.45;53.46;10430.9
DHP-3;HP;99.32;50.12;11571.44
DHP-4;HP;86.22;57.27;9530.09
DV1-1;V1;96.6;51.03;10830.25
DV1-2;V1;101.32;42.31;12412.54
DV1-3;V1;94.55;39.94;11847.12
DV1-4;V1;95.67;44.09;11204.52
DV2-1;V2;100.88;45.53;11917.28
DV2-2;V2;98.5;38.93;12368.35
DV2-3;V2;87.43;41.01;10828.77
DV2-4;V2;100.15;39.91;12373.55
DV3-1;V3;99.99;41.96;12111.91
DV3-2;V3;96.95;42.33;11805.63
DV3-3;V3;101.63;48.52;11783.69
DV3-4;V3;101.36;39.32;12750.61
DV4-1;V4;99.51;32.64;13239.36
DV4-2;V4;101.51;33.57;13322.34
DV4-3;V4;98.19;40.11;12352.96
DV4-4;V4;99.25;38.45;12778.38
