echantillon;groupe;Gmax;t50;AUC
ENP-1;NP;95.7;60.41;10155.68
ENP-2;NP;100.52;59.66;10667.87
ENP-3;NP;95.95;57.46;10279.18
ENP-4;NP;97.47;63.78;9863.69
EHP-1;HP;100.86;50.14;11666.08
EHP-2;HP;99.25;50.04;11163.97
EHP-3;HP;99.54;45.83;12044.27
EHP-4;HP;102.46;42.38;12507.61
EV1-1;V1;99.2;48.09;11482.25
EV1-2;V1;101.1;43.53;12423.21
EV1-3;V1;101.68;41.75;12041.49
EV1-4;V1;97.38;39.33;11823.66
EV2-1;V2;97.25;36.78;12417.14
EV2-2;V2;101.51;42.11;12537.59
EV2-3;V2;99.31;37.89;12292.75
EV2-4;V2;100.35;36.07;13049.87
EV3-1;V3;101.13;38.43;12610.46
EV3-2;V3;98.13;39.16;12528.19
EV3-3;V3;98.38;34.4;13081.96
EV3-4;V3;99.66;40.08;12569.18
EV4-1;V4;99.11;35.5;12872.72
EV4-2;V4;99.02;39.57;12862.0
EV4-3;V4;101.97;30.33;13571.35
EV4-4;V4;101.29;29.86;13595.77
