echantillon;groupe;Gmax;t50;AUC
FNP-1;NP;94.51;50.41;11008.26
FNP-2;NP;92.71;52.78;10518.78
FNP-3;NP;94.39;51.27;10909.0
FNP-4;NP;93.91;53.11;10380.48
FHP-1;HP;92.6;46.73;11162.6
FHP-2;HP;92.97;44.39;11330.09
FHP-3;HP;101.74;41.06;12439.95
FHP-4;HP;96.23;47.7;11148.3
FV1-1;V1;98.84;41.94;11810.17
FV1-2;V1;96.83;44.91;11768.78
FV1-3;V1;99.08;41.67;12424.68
FV1-4;V1;98.93;48.66;11239.47
FV2-1;V2;99.8;44.15;11607.04
FV2-2;V2;86.88;37.74;11015.65
FV2-3;V2;97.25;39.13;12273.96
FV2-4;V2;94.16;37.27;11966.62
FV3-1;V3;96.18;40.95;11898.33
FV3-2;V3;86.12;38.97;10617.78
FV3-3;V3;98.26;41.74;12148.95
FV3-4;V3;100.03;40.37;12732.41
FV4-1;V4;97.35;33.46;12800.44
FV4-2;V4;93.78;35.29;12219.35
FV4-3;V4;97.4;40.77;11949.38
FV4-4;V4;97.32;35.98;12651.59
